YEAR,GAME_ID,CURRENT_ROUND,TEAM_A,TEAM_A_NO,SEED_A,SCORE_A,TEAM_B,TEAM_B_NO,SEED_B,SCORE_B,TARGET,KADJ EM_A,KADJ O_A,KADJ D_A,BADJ EM_A,BADJ O_A,BADJ D_A,BARTHAG_A,EFG%_A,EFG%D_A,TOV%_A,TOV%D_A,OREB%_A,DREB%_A,FTR_A,FTRD_A,ELITE SOS_A,WAB_A,EXP_A,TALENT_A,WIN%_A,KADJ EM_B,KADJ O_B,KADJ D_B,BADJ EM_B,BADJ O_B,BADJ D_B,BARTHAG_B,EFG%_B,EFG%D_B,TOV%_B,TOV%D_B,OREB%_B,DREB%_B,FTR_B,FTRD_B,ELITE SOS_B,WAB_B,EXP_B,TALENT_B,WIN%_B,KADJ EM_DIFF,KADJ O_DIFF,KADJ D_DIFF,BADJ EM_DIFF,BADJ O_DIFF,BADJ D_DIFF,BARTHAG_DIFF,EFG%_DIFF,EFG%D_DIFF,TOV%_DIFF,TOV%D_DIFF,OREB%_DIFF,DREB%_DIFF,ELITE SOS_DIFF,WAB_DIFF,WIN%_DIFF,TALENT_DIFF,EXP_DIFF,SEED_DIFF
2008,41,32,Stanford,18,3,82,Marquette,38,6,81,1,23.9361,113.328,89.3924,22.9,111.5,88.6,0.934,49.8,44.0,18.9,18.1,39.2,71.2,40.4,34.0,33.063,6.7,1.859,64.912,78.78788,21.8442,113.463,91.6188,23.1,113.0,89.9,0.933,50.7,45.9,19.0,24.3,38.0,66.4,37.9,40.9,31.819,3.8,1.839,55.941,71.875,2.091899999999999,-0.1349999999999909,-2.226399999999998,-0.20000000000000284,-1.5,-1.3000000000000114,0.0010000000000000009,-0.9000000000000057,-1.8999999999999986,-0.10000000000000142,-6.199999999999999,1.2000000000000028,4.799999999999997,1.2440000000000033,2.9000000000000004,6.912880000000001,8.971000000000004,0.020000000000000018,-3
2008,43,32,Pittsburgh,26,4,54,Michigan St.,35,5,65,0,19.5116,116.407,96.8952,20.4,116.1,95.7,0.902,51.1,48.0,18.4,21.0,39.7,65.9,36.7,29.1,33.073,5.3,1.727,65.161,73.52941,20.8814,115.444,94.5625,21.5,114.0,92.5,0.917,52.5,46.1,21.2,19.3,39.8,68.6,34.1,32.2,31.132,5.1,1.61,87.079,75.75758,-1.369799999999998,0.9629999999999939,2.3327000000000027,-1.1000000000000014,2.0999999999999943,3.200000000000003,-0.015000000000000013,-1.3999999999999986,1.8999999999999986,-2.8000000000000007,1.6999999999999993,-0.09999999999999432,-2.6999999999999886,1.940999999999999,0.20000000000000018,-2.2281700000000058,-21.917999999999992,0.11699999999999999,-1
2008,45,32,Mississippi St.,34,8,74,Memphis,37,1,77,0,15.8174,107.347,91.5296,15.8,106.3,90.5,0.864,52.3,42.4,21.9,18.2,35.2,67.4,38.3,27.3,23.951,0.6,1.332,69.445,68.75,29.3779,114.695,85.3169,29.5,113.3,83.8,0.97,53.0,42.5,17.2,23.3,37.8,70.7,38.6,32.7,20.888,8.9,1.605,82.995,97.05882,-13.560500000000001,-7.347999999999999,6.212699999999998,-13.7,-7.0,6.700000000000003,-0.10599999999999998,-0.7000000000000028,-0.10000000000000142,4.699999999999999,-5.100000000000001,-2.5999999999999943,-3.299999999999997,3.062999999999999,-8.3,-28.308819999999997,-13.550000000000011,-0.2729999999999999,7
2008,47,32,Georgetown,47,2,70,Davidson,51,10,74,0,24.9836,114.989,90.0051,25.2,113.1,87.9,0.948,56.2,41.9,20.9,20.2,33.1,67.0,34.0,35.8,30.985,7.7,1.773,71.165,84.375,20.5532,114.056,93.5027,18.8,110.8,92.0,0.895,54.4,48.4,17.7,24.1,32.6,72.4,25.4,37.7,17.709,1.5,1.996,18.502,80.64516,4.430399999999999,0.9330000000000069,-3.4976000000000056,6.399999999999999,2.299999999999997,-4.099999999999994,0.052999999999999936,1.8000000000000043,-6.5,3.1999999999999993,-3.900000000000002,0.5,-5.400000000000006,13.276,6.2,3.729839999999996,52.66300000000001,-0.2230000000000001,-8
2008,49,32,Wisconsin,2,3,72,Kansas St.,42,11,55,1,27.4107,113.619,86.2081,27.3,112.2,84.9,0.961,50.6,43.1,19.4,22.2,36.2,71.5,39.3,25.4,28.584,8.3,1.939,82.1,87.87879,18.8909,113.383,94.4917,20.6,112.8,92.2,0.91,49.7,48.0,20.8,22.5,42.1,69.2,37.4,37.4,31.318,1.0,1.161,40.016,63.33333,8.5198,0.2360000000000042,-8.283599999999993,6.699999999999999,-0.5999999999999943,-7.299999999999997,0.050999999999999934,0.8999999999999986,-4.899999999999999,-1.4000000000000021,-0.3000000000000007,-5.899999999999999,2.299999999999997,-2.7340000000000018,7.300000000000001,24.54546,42.083999999999996,0.778,-8
2008,51,32,Siena,20,13,72,Villanova,7,12,84,0,6.75339,108.144,101.391,6.4,106.4,100.0,0.671,50.4,51.9,15.2,24.0,31.8,63.1,34.9,25.0,13.952,-3.8,1.3,10.689,68.75,12.9811,108.903,95.9216,12.7,107.7,95.0,0.809,49.0,51.3,20.4,23.9,36.9,68.6,38.4,45.9,29.494,0.3,0.994,61.386,62.5,-6.22771,-0.7590000000000003,5.469400000000007,-6.299999999999999,-1.2999999999999972,5.0,-0.138,1.3999999999999986,0.6000000000000014,-5.199999999999999,0.10000000000000142,-5.099999999999998,-5.499999999999993,-15.542,-4.1,6.25,-50.697,0.30600000000000005,1
2008,53,32,UNLV,11,8,56,Kansas,43,1,75,0,13.6193,110.183,96.5636,14.3,108.2,93.9,0.836,48.8,46.1,15.8,21.6,29.4,67.6,32.7,32.4,20.716,2.2,1.999,18.883,78.125,33.9647,121.433,87.4681,35.4,121.0,85.6,0.982,56.3,44.8,18.7,22.9,38.0,71.0,37.5,30.8,30.29,9.9,2.047,89.633,90.90909,-20.345399999999998,-11.25,9.095499999999987,-21.099999999999998,-12.799999999999997,8.300000000000011,-0.14600000000000002,-7.5,1.3000000000000043,-2.8999999999999986,-1.2999999999999972,-8.600000000000001,-3.4000000000000057,-9.573999999999998,-7.7,-12.784090000000006,-70.75,-0.04800000000000004,7
2008,55,32,Tennessee,16,2,76,Butler,58,7,71,1,22.3372,117.787,95.4494,24.1,116.3,92.2,0.935,52.8,49.2,17.7,24.6,37.0,65.7,36.8,39.4,31.749,9.2,1.716,57.614,87.5,19.2975,116.138,96.8401,18.9,114.2,95.3,0.889,54.1,48.0,16.9,22.8,29.7,68.4,36.8,31.2,16.476,4.7,2.186,11.348,90.625,3.0397,1.649000000000001,-1.3907000000000096,5.200000000000003,2.0999999999999943,-3.0999999999999943,0.04600000000000004,-1.3000000000000043,1.2000000000000028,0.8000000000000007,1.8000000000000007,7.300000000000001,-2.700000000000003,15.273,4.499999999999999,-3.125,46.266,-0.47,-5
2008,57,32,Louisville,39,3,78,Oklahoma,29,6,48,1,23.198,111.828,88.6299,22.9,110.3,87.4,0.936,52.0,43.8,19.6,21.4,33.4,69.3,36.4,33.2,30.593,4.7,1.617,83.94,75.0,15.0751,109.474,94.3986,15.7,108.0,92.3,0.859,50.1,46.2,19.6,20.2,33.5,70.0,38.1,30.4,33.332,2.8,1.669,63.704,66.66667,8.1229,2.353999999999999,-5.7686999999999955,7.199999999999999,2.299999999999997,-4.8999999999999915,0.07700000000000007,1.8999999999999986,-2.4000000000000057,0.0,1.1999999999999993,-0.10000000000000142,-0.7000000000000028,-2.7390000000000008,1.9000000000000004,8.333330000000004,20.235999999999997,-0.052000000000000046,-3
2008,59,32,Washington St.,6,4,61,Notre Dame,30,5,41,1,23.9044,116.272,92.3676,22.5,114.2,91.7,0.926,54.4,47.7,17.2,22.2,28.1,69.9,39.8,28.8,31.951,4.9,2.39,24.685,75.0,19.1955,116.335,97.1396,20.3,115.6,95.3,0.902,52.8,46.9,18.2,17.6,36.6,69.0,34.8,22.8,28.578,4.4,1.735,80.171,77.41935,4.7089,-0.06299999999998818,-4.772000000000006,2.1999999999999993,-1.3999999999999915,-3.5999999999999943,0.02400000000000002,1.6000000000000014,0.8000000000000043,-1.0,4.599999999999998,-8.5,0.9000000000000057,3.373000000000001,0.5,-2.4193499999999943,-55.486000000000004,0.655,-1
